Comments,Label
golden era of ducky bhai,NCA
hi 2025 823,NCA
who is watching in,NCA
anyone in 2025,NCA
who is watching in 2025,NCA
who watching in 2025,NCA
uff besurii,CA
harami duckyyyy,CA
who s watching 2025,NCA
ye admi to sach me gawar hai,CA
level miss you ducky bhai,NCA
miss u ducky,NCA
dekhi bhai,NCA
2025,NCA
who waching in 2025,NCA
watching 2025,NCA
twerk wala end hogaya,CA
who wathing in 2026,NCA
whos watching in may 2025,NCA
whos watching in 2025,CA
yaa gana bhoit ajib h,NCA
who watching in 2027,NCA
who is watching in 2025,NCA
sabse bekaaar song balk ye to song bhi nai he,CA
who is wathing in 2025,NCA
jahn bhi mil jai chader ore ka so joe tera face per ake doe laga jae,CA
who watching in 2025,NCA
watching in 2k25,NCA
nausea bagel,CA
who is watching in january 2025,NCA
who watching in 2025,NCA
why is this recomended to me in 2024,NCA
no hate for you,NCA
anyone in oct 2024,NCA
carryminati ki copy ha na,NCA
ducky bhai you are right this song is the badest song of the world,NCA
we want old duck is back rost wala dhakki,NCA
106 him,NCA
yo i am waching this vid in 2024 bc has has ke bund phat gai hai,CA
i like his roasting,NCA
2024,NCA
oye ye to dosra chahat fateh ali khan ha,NCA
pooja ki hamsai ki kamwali,NCA
watching in 2024,NCA
mee on eid,NCA
here in 2o25,NCA
in 2024,NCA
who watching in 2024,NCA
legends watching in 2024,NCA
legend watch in 2024,NCA
old roaster legend,NCA
pro legends in 2024,NCA
i am watching 2024,NCA
311 311 312,NCA
who is watching it in 2024,NCA
who is watching in 2024,NCA
legends still watching in 2024,NCA
jio ducky bai,NCA
muja phir shyari a gay yar,NCA
maza g,NCA
dp is so bad,CA
i am watching this video 3rd time,NCA
watching this in the end of 2023,NCA
bruhh,NCA
gana is kutty ne apni shakal pe banaya hai,CA
love you duck,NCA
hahahaa enddd,NCA
meri hand free nai chal rahi ya gana suna ka bad,NCA
ye to tatti hai,CA
the funniest video ever and when he said o doreman gajet nekal pa,NCA
ducky bhai ap mara fav or best youtuber ho dil sa love you,NCA
waha bhi donkey bhai,CA
miss this era,NCA
mujhe btati mien subah tatti karte hoe is se acha kuch likh deta,CA
legends watching in 2023,NCA
no words for this video,CA
this song is heavy dirty song in the world,NCA
best roster ever end both funny ha,NCA
love you bhai,NCA
we miss our this ducky bhai,NCA
what ducky bhai gazab bezati hai dinchak ki,NCA
is sa to acha angel angel ha,NCA
love your laughter ducky bhai,NCA
dhinchaktaker,NCA
kia yrr ganna laga kar mood khrb kar diya,NCA
iub you,NCA
watch again,NCA
bhai kan se khoon nikal aye,CA
awesome,NCA
end hogya,NCA
mza a gya duky bhai,NCA
chutiyapa ka song,CA
harami ho bare,CA
who watch this video in 2022,NCA
lmao ducky bhai roasted the whole india in a couple of seconds 3 3,NCA
yaar to ye kosi game khel rahe ho,NCA
bsdk istrh ki videos banakr na,CA
legend watching 2022,NCA
mera mobile is song ko sunkar pagal ho gaya,NCA
my earphones is damage to dinchak pooja,NCA
hahah kya song hai hahhahaha,NCA
033 3 idiots film meme,NCA
maine to headphones lagaya hua tha ear sy bleeding start ho gaya,NCA
eiding another level,NCA
kya bt hai boss i love u,NCA
kya baat ducky bhai,NCA
ducky is heavy roster,NCA
bhai meray ears say khoon araha hai,NCA
suba suba mood khrab kr dia yar apna channel ko ganda na kia kro,CA
good roast,NCA
pagal girl,CA
o what the fuck is this,CA
aba ya kya bawasir ha,CA
ducky bhai is dhinchak poja ke moun me do,CA
legends are watching in 2022,NCA
i heard this song in my house now i am homeless,NCA
love you bronice video,NCA
level ducky bhi,NCA
my airbuds rip due to her song,NCA
i love you,NCA
cant stop laughing,NCA
mera kanou se khoon nikal raha hai,NCA
yaaaarwas playing your video on speaker and cant stop laughing,NCA
video when my mom walks in,NCA
dhinchak pooja is soooooo kutiaa,CA
it was 21 may 2022 ducky was married,NCA
are you a pakistani,NCA
old ducky bahi please comeback,NCA
laptop ka speaker crush ho gay ab headphone lagayan han ab pata nai kya hoga,NCA
meray headphones ky loray lg gy,CA
yar ya sun kar gand ka 12 toty ho gy haan,CA
gana sun krr mera kaan khrab ho gai,CA
this old videos are better then new vlogs,NCA
mujhy yy song suny ky bad kuch or sunny ka dil nhi kr rha kion ky mery kanoon ko bawaseer ho gi gyyyyyyy,CA
i watched the roast video was awsome as always but the cringe dicknach pujas song is so cringe watching it again making me vomit,CA
after watching this i just switched off my mobile and went to,NCA
what the tatti songisy song nii keh skty,CA
nice,NCA
hahaha hahaha,NCA
lol the floss tho,NCA
yaar bohat kamal ka roast mara hai,NCA
ducky,NCA
op op op op,NCA
ducky bhai isy kehna chahiye tha k teri marny k baad sojao ya marty marty soojaoo,NCA
it an tati gana,CA
419 cant stop laughing,NCA
thanks ducky bhai love from india bro,NCA
very nice boht passnd aae,NCA
nice bhai,NCA
hahahahahaha,NCA
500 to 513 op,NCA
is ka cherha itna oily haa ky lannat bhi slip ho jati haa,CA
khud paghal hai aur nach ke paghal ho rahe hai,CA
bhai ma ap ka bohat bara fan hoon,NCA
twerk,CA
carryminati and ducky bhai best ever,NCA
begharet diknak dinchak pooooooja,CA
aby bhencho,CA
kai bhonk really ha,CA
ywr ducky bhai cid ko ho jay ek dafa,NCA
kya roast mara he said bhai,NCA
haha wah,NCA
ye poem hai kiya puja ka,NCA
me juic peera tha aur mere moo se nikle gaya itni hassi aayi ye video dekh ker,NCA
bahut bahut sahi,NCA
ye kya heh ye to tatttttttiii heh,CA
kiya mari hai,CA
hahahhahahahahahahhaahah,NCA
khoob bhai khoob roaster called you,NCA
hulk scene was amazing nach kr pagal haha,NCA
yar ducky bhai ap ka ya standard ni h k itny giry howy logo ki chatrol kro,NCA
confidence dekho dhinyuk sooja ka,NCA
sasta bhrwa hn tu ksmy,CA
i was serious funny while watching this video,NCA
ducky i was seriously laughing,NCA
048 love this game mirrors edge catalyst,NCA
in pa video banana be time zaya krnay wali baat ha,NCA
vip aisi lete raho in ki,CA
nice paat,NCA
only one thing i dont like in this video is that dhichak pooja song,NCA
420 naach ke pagal,NCA
undertaker part of dhinchik pooja yrr ducky,NCA
319 very funny,NCA
hahahahaha,NCA
laughing my ass off,CA
i was really upset,NCA
duckys twerk is much better than this twerk,CA
o ho hahahahaha,NCA
very technical,NCA
cool roasting yar,NCA
ducky bhai ne is se acha twerk kiya tha,CA
i am going to sucide,NCA
hahahahaahhahahahahagagagahahahahahahahahahaha,NCA
kya din thy ducky ki old vedios ka apna maza hai,NCA
uffff hasa hasa k ye banda mar daly ga,NCA
hahahaha stupied,NCA
duckybhai,NCA
most annoying song of the universe,NCA
bro dont waste your time on these bandries,NCA
hahahahha dubara dekh rha hun ya video 2021,NCA
wahhh bhai goood talk most good one is shesheee ke samne ja ke lanat de3 apne ap ko,NCA
jitna socha us sy bhi ghatiya gana bal ky ye gana hy ni ye mazak ho raha hy,CA
i cant stop laughing ducky yar love you,NCA
dhinchak pooja pakka khoon k ansoo roi hogi ye vedio dekh kr,NCA
holy shit she must be crying after watching this video,NCA
hahaha,NCA
ducky bhai is too good,NCA
nice,NCA
kia hai yar ducky,NCA
wo pagal to ni thy had ha yar is karki ki shakal to daikho isky gar waly khud ni daikhty hongy isko yar,CA
