Comments,Label
Golden era of ducky bhai,NCA
Hi 2025 8.23.??,NCA
Who is watching in ²?²?,NCA
anyone in 2025??,NCA
Who is watching in 2025,NCA
Who watching in 2025????,NCA
uff besurii,CA
harami duckyyyy,CA
Who ‘s watching 2025,NCA
Ye admi to sach me gawar hai,CA
Level miss you ducky bhai,NCA
miss u ducky,NCA
Dekhi bhai,NCA
2025 ??,NCA
Who waching in 2025,NCA
Watching 2025????,NCA
??,NCA
 twerk wala end hogaya??,CA
Who wathing in 2026,NCA
Who's watching in may 2025,NCA
whos watching in 2025,CA
Yaa gana bhoit ajib h ??????,NCA
Who watching in 2027?,NCA
who is watching in 2025,NCA
sabse bekaaar song balk ye to song bhi nai he,CA
who is wathing in 2025,NCA
Jahn bhi mil Jai chader ore ka so Joe tera face per ake doe Laga jae,CA
who watching in 2025????,NCA
Watching in 2k25??,NCA
?? nausea bagel,CA
Who is watching in 2025,NCA
Who is watching in  January 2025,NCA
Who watching in 2025,NCA
Who watching in 2025????,NCA
Me,NCA
Why is this recomended to me in 2024,NCA
Who watching in 2025,NCA
No hate for you,NCA
Anyone in oct 2024??,NCA
Carryminati ki copy ha na ??,NCA
Ducky bhai you are right this song is the badest song of the world,NCA
WE WANT OLD DUCK IS BACK ROST WALA DHAKKI ????,NCA
1:06 him ??????????,NCA
yo i am waching this vid in 2024 bc has has ke bund phat gai hai ,CA
i like his roasting,NCA
wow,NCA
?,NCA
.,NCA
??,NCA
??  2024???,NCA
Oye ye to dosra chahat fateh ali khan ha????,NCA
Pooja ki hamsai ki kamwali??,NCA
watching in 2024,NCA
Mee on eid,NCA
Here in 2O25......??,NCA
In 2024,NCA
Who watching in 2024 ??,NCA
Legends Watching In 2024 ??,NCA
Legend watch in 2024????,NCA
Old roaster legend,NCA
Pro legends in 2024,NCA
??? 0:19,NCA
I am watching 2024,NCA
3:11 3:11 3:12,NCA
Who is watching it in 2024,NCA
Who is watching in 2024,NCA
legends still watching in 2024,NCA
Jio ducky bai ????,NCA
Muja phir shyari a gay yar??????,NCA
Maza g,NCA
DP is so bad.,CA
I AM WATCHING THIS VIDEO 3RD TIME,NCA
??,NCA
Watching this in the end of 2023,NCA
BRUHH!! ????????,NCA
Gana is Kutty NE apni shakal pe banaya hai,CA
love you duck,NCA
hahahaa enddd,NCA
Meri hand free nai chal rahi ya gana suna ka bad ????,NCA
????????????????????????,NCA
??????,NCA
??????,NCA
ye to tatti hai,CA
The funniest video ever and when he said o doreman gajet nekal pa..,NCA
Ducky bhai ap mara fav or best youtuber ho dil sa love you?,NCA
??,NCA
Waha bhi donkey bhai,CA
Miss this era,NCA
Mujhe btati mien subah tatti karte hoe is se acha kuch likh deta,CA
??????????,NCA
legends watching in 2023 ????,NCA
No words for this video ,CA
????????this song is heavy dirty song in the world ????????,NCA
Best roster ever end both funny ha ????,NCA
Love you bhai ????????????,NCA
We miss our this ducky Bhai ??,NCA
what ducky bhai gazab bezati hai dinchak ki,NCA
Is sa to acha Angel Angel???? ha,NCA
Love your laughter ducky bhai????,NCA
Dhinchak-Taker??,NCA
kia yrr ganna laga kar mood khrb kar diya,NCA
IUB YOU,NCA
Watch again??,NCA
bhai kan se khoon nikal aye,CA
awesome,NCA
End hogya???????,NCA
Mza a gya duky bhai ??????,NCA
Chutiyapa ka song,CA
Harami ho bare????????,CA
Who Watch this video in 2022 ???? ??,NCA
??,NCA
Lmao ducky bhai roasted the whole india in a couple of seconds <3 <3,NCA
Yaar to ye kosi game khel Rahe ho,NCA
Bsdk istrh ki videos banakr na,CA
Legend watching 2022,NCA
Mera mobile is song ko sunkar Pagal ho Gaya ??,NCA
my earphones is damage to dinchak Pooja ????,NCA
Hahah kya song hai hahhahaha,NCA
0:33 - 3 Idiots film meme,NCA
 Maine to headphones lagaya hua tha ear sy bleeding start ho gaya,NCA
????????????????????????,NCA
Eiding another level..,NCA
Kya bt hai boss I love u,NCA
Kya Baat ducky bhai,NCA
LOL,NCA
Ducky is heavy roster ??????,NCA
Bhai meray ears say khoon araha hai,NCA
Suba suba mood khrab kr dia yar apna channel ko ganda na kia kro,CA
Good roast,NCA
pagal girl,CA
O what the fuck is this ????????,CA
Aba ya Kya bawasir ha,CA
??,NCA
??????,NCA
Ducky bhai is dhinchak poja ke moun me do ????????????,CA
Legends are watching in 2022,NCA
????,NCA
I heard this song in my house now i am homeless.......... ????????,NCA
Love you bro????????????????nice Video,NCA
????,NCA
Level ducky bhi,NCA
my airbuds rip due to her song??????,NCA
I Love you,NCA
????????????????????????????????????????????????????????????????,NCA
????????,NCA
????????,NCA
??,NCA
Ok,NCA
Can't stop laughing ????????????????????????,NCA
mera kanou se khoon nikal raha hai,NCA
Yaaaar...was playing your video on Speaker .and can't stop laughing ????,NCA
Video when my mom walks in:,NCA
dhinchak pooja is soooooo kutiaa ??,CA
it was 21 may 2022 ducky was married,NCA
2:44 ??,NCA
3:23,NCA
Are you a Pakistani??,NCA
Old ducky bahi please comeback,NCA
laptop ka speaker crush ho gay ab headphone lagayan han ab pata nai kya hoga??????????,NCA
??????,NCA
??????,NCA
Meray headphones ky loray lg gy????,CA
Yar ya sun kar gand ka 12 toty ho gy haan ??,CA
Gana sun krr mera kaan khrab ho gai,CA
This old videos  are better then new vlogs.,NCA
https://youtube.com/channel/UCMBQkCPekMZ92LV8vssOZ-Q,NCA
mujhy yy song suny ky bad kuch or sunny ka dil nhi kr rha kion ky mery kanoon ko bawaseer ho gi gyyyyyyy,CA
I watched the roast video was awsome as always but the cringe dicknach pujas song is so cringe watching it again making me vomit,CA
After Watching this I just Switched Off My Mobile  and Went To...........,NCA
What the tatti song.........isy song nii keh skty????,CA
Nice,NCA
??????????????????????,NCA
Hahaha hahaha ??????????????,NCA
Lol the floss tho??????,NCA
????,NCA
Yaar bohat kamal ka roast mara hai,NCA
Ducky ????????????,NCA
??????,NCA
Op op op op,NCA
"Ducky bhai isy kehna chahiye tha k "" teri marny k baad sojao ya marty marty soojaoo""",NCA
It an Tati gana,CA
?? ????????????????????????,NCA
4:19 Can't stop laughing,NCA
??????,NCA
????????????????,NCA
Thanks ducky bhai love from India bro..,NCA
Very nice boht passnd aae,NCA
nice bhai ????,NCA
0:02,NCA
??????????,NCA
Hahahahahaha,NCA
5:00 to 5:13 op,NCA
Is ka cherha itna oily haa ky lannat bhi slip ho jati haa ????,CA
Khud paghal hai aur nach ke paghal ho rahe hai,CA
Bhai ma ap ka bohat bara fan hoon,NCA
Twerk, CA 
carryminati and ducky bhai best ever,NCA
begharet diknak dinchak pooooooja,CA
Gta??,NCA
??????,NCA
Aby bhencho ??????,CA
Kai bhonk really ha,CA
??????????????,NCA
Op,NCA
Ywr ducky bhai CID ko ho jay ek dafa,NCA
Kya roast mara he said bhai????,NCA
haha wah,NCA
Ye poem hai kiya puja ka,NCA
Wow????,NCA
me juic peera tha aur mere moo se nikle gaya itni hassi aayi ye video dekh ker,NCA
Bahut bahut sahi,NCA
 Ye kya heh ? Ye to tatttttttiii heh,CA
Kiya Mari hai,CA
Hahahhahahahahahahhaahah,NCA
khoob bhai khoob roaster called you,NCA
Hulk scene was amazing nach kr Pagal haha,NCA
